Last name,First name,Full name,Countries,born,died
Bláthy,Ottó,Ottó Bláthy,Hungary,1860,1939
Ceron,Alfonso,Alfonso Ceron,Spain,1535,?
Siegheim,Bruno Edgar,Bruno Edgar Siegheim,"Germany,South Africa",1875,1952
Liu,Wenzhe,Liu Wenzhe,China,1940,
Guerrero,Gilberto Hernández,Gilberto Hernández Guerrero,Mexico,1970,
Monosson,Léon,Léon Monosson,"Belarus,France",1892,1943
Richter,Kurt,Kurt Richter,Germany,1900,1969
Roux,Jean-Pierre Le,Jean-Pierre Le Roux,France,1982,
Sarosy,Zoltan,Zoltan Sarosy,"Hungary,Canada",1906,2017
Kolski,Jakub,Jakub Kolski,Poland,1899,1941
Poplawski,Artur,Artur Poplawski,"Poland,Switzerland",1860,1918
Li,Wenliang,Li Wenliang,China,1967,
Felecan,Florin,Florin Felecan,"Romania,US",1980,
Ereńska,Hanna,Hanna Ereńska,Poland,1946,
Frydman,Paulino,Paulino Frydman,"Poland,Argentina",1905,1982
Baklan,Vladimir,Vladimir Baklan,Ukraine,1978,
Barnes,Thomas Wilson,Thomas Wilson Barnes,England,1825,1874
Evans,Larry M.,Larry M. Evans,US,1932,2010
Weiss,Max,Max Weiss,"Hungary,Austria",1857,1927
Aveskulov,Valeriy,Valeriy Aveskulov,Ukraine,1986,
Buksa,Nataliya,Nataliya Buksa,Ukraine,1996,
Neumann,Augustin,Augustin Neumann,Austria,1879,1906
Ekström,Folke,Folke Ekström,Sweden,1906,2000
Bareev,Evgeny,Evgeny Bareev,Russia,1966,
Flamberg,Alexander,Alexander Flamberg,Poland,1880,1926
Gaprindashvili,Valeriane,Valeriane Gaprindashvili,Georgia,1982,
Löwy,Leopold,Leopold Löwy Sr,Austria,1840,>1904
Luther,Thomas,Thomas Luther,Germany,1969,
Sarapu,Ortvin,Ortvin Sarapu,"Estonia,New Zealand",1924,1999
Truong,Paul,Paul Truong,"Vietnam,US",1965,
Hirschfeld,Philipp,Philipp Hirschfeld,Germany,1840,1896
Thompson,James,James Thompson,"England,US",1804,1870
Pixton,Aaron,Aaron Pixton,US,1986,
Piltz,Karol,Karol Piltz,Poland,1903,1939
Journoud,Paul,Paul Journoud,France,1821,1882
Bergs,Teodors,Teodors Bergs,Latvia,1902,1966
Johner,Paul,Paul Johner,Switzerland,1887,1938
Bolbochán,Jacobo,Jacobo Bolbochán,Argentina,1906,1984
Jobava,Baadur,Baadur Jobava,Georgia,1983,
Lputian,Smbat,Smbat Lputian,Armenia,1958,
Szabó,László,László Szabó,Hungary,1917,1998
Shahade,Jennifer,Jennifer Shahade,US,1980,
Lenderman,Alex,Alex Lenderman,US,1989,
Suttles,Duncan,Duncan Suttles,Canada,1945,
Fressinet,Laurent,Laurent Fressinet,France,1981,
Cifuentes,Roberto,Roberto Cifuentes,"Chile,Netherlands,Spain",1957,
Kieseritzky,R.K.,R.K. Kieseritzky,"Estonia,Russia",c. 1870,after 1922
Model,Abram,Abram Model,"Latvia,Russia",1896,1976
Savon,Vladimir,Vladimir Savon,Ukraine,1940,2005
Ehlvest,Jaan,Jaan Ehlvest,Estonia,1962,
Barnes,Robert Henry,Robert Henry Barnes,"England,New Zealand",1849,1916
Villegas,Benito,Benito Villegas,Argentina,1877,1952
"Bourdonnais,de la",Louis-Charles Mahé,Louis-Charles Mahé de La Bourdonnais,France,1795,1840
Bledow,Ludwig,Ludwig Bledow,Germany,1795,1846
Suetin,Alexey,Alexey Suetin,Russia,1926,2001
Yildiz,Betul Cemre,Betul Cemre Yildiz,Turkey,1989,
Oleksienko,Mikhailo,Mikhailo Oleksienko,Ukraine,1986,
Lein,Anatoly,Anatoly Lein,"Russia,US",1931,2018
Biyiasas,Peter,Peter Biyiasas,"Greece,Canada",1950,
Lie,Kjetil Aleksander,Kjetil Aleksander Lie,Norway,1980,
Gustafsson,Jan,Jan Gustafsson,Germany,1979,
Kreuzer,Martin,Martin Kreuzer,Germany,1962,
Zhao,Zong-Yuan,Zhao Zong-Yuan,"China,Australia",1986,
Traxler,Karel,Karel Traxler,Czechoslovakia,1866,1936
Shankland,Samuel,Samuel Shankland,US,1991,
Ojanen,Kaarle,Kaarle Ojanen,Finland,1918,2009
Appel,Izaak,Izaak Appel,Poland,1905,1941
Saburov,Peter Petrovich,Peter Petrovich Saburov,"Russia,Switzerland",1880,1932
Popel,Stepan,Stepan Popel,"Poland,France,US",1909,1987
Tinsley,Samuel,Samuel Tinsley,England,1847,1903
Torriente,Celso Golmayo,Celso Golmayo Torriente,"Cuba,Spain",1879,1924
Simutowe,Amon,Amon Simutowe,Zambia,1982,
Cheparinov,Ivan,Ivan Cheparinov,Bulgaria,1986,
Müller,Hans,Hans Müller,Austria,1896,1971
Enevoldsen,Jens,Jens Enevoldsen,Denmark,1907,1980
Fleissig,Bernhard,Bernhard Fleissig,"Hungary,Austria",1853,1931
Cámpora,Daniel Hugo,Daniel Hugo Cámpora,Argentina,1957,
Oskam,Gerard,Gerard Oskam,Netherlands,1880,1952
Stellwagen,Daniel,Daniel Stellwagen,Netherlands,1987,
Shankar,Gauri,Gauri Shankar,India,1992,
Vansittart,Cyril,Cyril Vansittart,"England,Italy",1852,1887
Khan,Mir Sultan,Mir Sultan Khan,"India,Pakistan",1905,1966
Ushenina,Anna,Anna Ushenina,Ukraine,1985,
Bosboom-Lanchava,Tea,Tea Bosboom-Lanchava,"Netherlands,Georgia",1974,
MacLeod,Nicholas,Nicholas MacLeod,Canada,1870,1965
Lékó,Péter,Péter Lékó,Hungary,1979,
Yudovich,Mikhail,Mikhail Yudovich,Russia,1911,1987
Negi,Parimarjan,Parimarjan Negi,India,1993,
Böök,Eero,Eero Böök,Finland,1910,1990
Kubbel,Leonid,Leonid Kubbel,Russia,1891,1942
Minev,Nikolay,Nikolay Minev,"Bulgaria,US",1931,2017
Wexler,Bernardo,Bernardo Wexler,"Romania,Argentina",1925,1992
Gurevich,Dmitry,Dmitry Gurevich,"Russia,US",1956,
Rossolimo,Nicolas,Nicolas Rossolimo,"Ukraine,France,US",1910,1975
Soultanbeieff,Victor,Victor Soultanbeieff,"Russia,Belgium",1895,1972
Lukin,Andrey,Andrey Lukin,Russia,1948,
Forgács,Leó,Leó Forgács,Hungary,1881,1930
Tan,Hiong Liong,Hiong Liong Tan,"Indonesia,Netherlands",1938,2009
Alapin,Simon,Simon Alapin,Lithuania,1856,1923
Diemer,Emil Josef,Emil Josef Diemer,Germany,1908,1990
Rogozenko,Dorian,Dorian Rogozenko,Romania,1973,
Bogoljubov,Efim,Efim Bogoljubov,"Ukraine,Germany",1889,1952
Kupchik,Abraham,Abraham Kupchik,"Belarus,US",1892,1970
Dreev,Alexey,Alexey Dreev,Russia,1969,
Khavin,Abram,Abram Khavin,Ukraine,1914,1974
Ware,Preston,Preston Ware,US,1821,1891
Sergeant,Edward Guthlac,Edward Guthlac Sergeant,England,1881,1961
Zhao,Jun,Zhao Jun,China,1986,
Ganguly,Surya Shekhar,Surya Shekhar Ganguly,India,1983,
Deacon,Frederic,Frederic Deacon,Belgium,1829,1875
Crakanthorp,Spencer,Spencer Crakanthorp,Australia,1885,1936
Vainshtein,Samuil,Samuil Vainshtein,Russia,1894,1942
Aleksandrov,Aleksej,Aleksej Aleksandrov,Belarus,1973,
Benkö,Francisco,Francisco Benkö,"Germany,Argentina",1910,
Seirawan,Yasser,Yasser Seirawan,"Syria,US",1960,
Zarnicki,Pablo,Pablo Zarnicki,Argentina,1972,
Lasker,Edward,Edward Lasker,"Poland,Germany,US",1885,1981
l'Ami,Erwin,Erwin l'Ami,Netherlands,1985,
Lupulescu,Constantin,Constantin Lupulescu,Romania,1984,
Muzychuk,Anna,Anna Muzychuk,"Ukraine,Slovenia",1990,
Fridman,Daniel,Daniel Fridman,"Latvia,Germany",1976,
Kriventsov,Stanislav,Stanislav Kriventsov,"Russia,US",1973,
Katětov,Miroslav,Miroslav Katětov,Czechoslovakia,1918,1995
Botvinnik,Mikhail,Mikhail Botvinnik,Russia,1911,1995
Sveshnikov,Evgeny,Evgeny Sveshnikov,Latvia,1950,
Quiñones,Oscar,Oscar Quiñones,Peru,1941,
Wojtaszek,Radosław,Radosław Wojtaszek,Poland,1987,
Taubenhaus,Jean,Jean Taubenhaus,"Poland,France",1850,1919
Feigins,Movsas,Movsas Feigins,"Latvia,Argentina",1908,1950
Ftáčnik,Ľubomír,Ľubomír Ftáčnik,"Czechoslovakia,Slovakia",1957,
Portisch,Lajos,Lajos Portisch,Hungary,1937,
Konikowski,Jerzy,Jerzy Konikowski,"Poland,Germany",1947,
Kaidanov,Gregory,Gregory Kaidanov,"Ukraine,Russia,US",1959,
Predojević,Borki,Borki Predojević,Bosnia,1987,
Ptacnikova,Lenka,Lenka Ptacnikova,"Czechoslovakia,Iceland",1976,
Lane,Gary,Gary Lane,"England,Australia",1964,
Sargissian,Gabriel,Gabriel Sargissian,Armenia,1983,
Marchand,Max,Max Marchand,Netherlands,1888,1957
Hanauer,Milton,Milton Hanauer,US,1908,1988
Amonatov,Farrukh,Farrukh Amonatov,Tajikistan,1978,
Grefe,John,John Grefe,US,1947,
Winston,Peter,Peter Winston,US,1958,
Rubinstein,José,José Rubinstein,Argentina,1940,
Kryvoruchko,Yuriy,Yuriy Kryvoruchko,Ukraine,1986,
Hauchard,Arnaud,Arnaud Hauchard,France,1971,
Chéron,André,André Chéron,France,1895,1980
Andriasian,Zaven,Zaven Andriasian,Armenia,1989,
Potemkine,Peter,Peter Potemkine,"Russia,France",1886,1926
Golubenko,Valentina,Valentina Golubenko,"Estonia,Croatia",1990,
Klein,Ernst,Ernst Klein,"Austria,England",1910,1990
Szily,József,József Szily,Hungary,1913,1976
Oll,Lembit,Lembit Oll,Estonia,1966,1999
Heemskerk,Fenny,Fenny Heemskerk,Netherlands,1919,2007
Knaak,Rainer,Rainer Knaak,Germany,1953,
Rubinstein,Simon,Simon Rubinstein,"Austria,South Africa",c. 1910,
Bird,Henry,Henry Bird,England,1830,1908
Hergott,Deen,Deen Hergott,Canada,1962,
Bernstein,Yaacov,Yaacov Bernstein,Israel,1939,
Jacobsen,Egil,Egil Jacobsen,Denmark,1897,1923
Hjartarson,Jóhann,Jóhann Hjartarson,Iceland,1963,
Tenner,Oscar,Oscar Tenner,"Germany,US",1880,1948
"Weydlich,de",Kasimir,Kasimir de Weydlich,Poland,1859,1913
Cardoso,Ruth Volgl,Ruth Volgl Cardoso,Brazil,1934,2000
Plater,Kazimierz,Kazimierz Plater,Poland,1915,2004
Janošević,Dragoljub,Dragoljub Janošević,Serbia,1923,1993
Heinrichsen,Arved,Arved Heinrichsen,Lithuania,1879,1900
Taimanov,Mark,Mark Taimanov,"Ukraine,Russia",1926,2016
Kottnauer,Čeněk,Čeněk Kottnauer,"Czechoslovakia,England",1910,1996
Marić,Mirjana,Mirjana Marić,Serbia,1970,
Arencibia,Walter,Walter Arencibia,Cuba,1967,
Devos,Paul,Paul Devos,Belgium,1911,1981
McShane,Luke,Luke McShane,England,1984,
Schubert,František,František Schubert,Czechoslovakia,1894,1940
Tietz,Viktor,Viktor Tietz,Czechoslovakia,1859,1937
Gerstenfeld,Edward,Edward Gerstenfeld,"Poland,Ukraine",1915,1943
Nisipeanu,Liviu-Dieter,Liviu-Dieter Nisipeanu,Romania,1976,
Norcia,Federico,Federico Norcia,Italy,1904,1985
Harrwitz,Daniel,Daniel Harrwitz,"Germany,France",1823,1884
Markoš,Ján,Ján Markoš,Slovakia,1985,
Lessing,Norman,Norman Lessing,US,1911,2001
Almási,Zoltán,Zoltán Almási,Hungary,1976,
Pfleger,Helmut,Helmut Pfleger,Germany,1943,
Kozlovskaya,Valentina,Valentina Kozlovskaya,Russia,1938,
Greco,Gioachino,Gioachino Greco,Italy,1600,c. 1634
Szpiro,Abram,Abram Szpiro,"Germany,Poland",1912,1943
Filip,Miroslav,Miroslav Filip,Czech Republic,1928,2009
Leepin,Peter,Peter Leepin,Switzerland,1920,1995
Castillo,Mariano,Mariano Castillo,Chile,1905,1970
Kazhgaleyev,Murtas,Murtas Kazhgaleyev,Kazakhstan,1973,
Nakamura,Hikaru,Hikaru Nakamura,"Japan,US",1987,
Muro,Augusto de,Augusto de Muro,Argentina,?,1959
Davidson,Jacques,Jacques Davidson,Netherlands,1890,1961
Szén,József,József Szén,Hungary,1805,1857
Michell,Reginald Price,Reginald Price Michell,England,1873,1938
Helbach,Grigory,Grigory Helbach,Russia,1863,1930
Bauer,Christian,Christian Bauer,France,1977,
Köhnlein,Friedrich,Friedrich Köhnlein,Germany,1879,1916
Johannessen,Svein,Svein Johannessen,Norway,1937,2007
Kosashvili,Yona,Yona Kosashvili,"Georgia,Israel",1970,
Kushnir,Alla,Alla Kushnir,"Russia,Israel",1941,2013
Zapata,Alonso,Alonso Zapata,Colombia,1958,
Flechsig,Ernst,Ernst Flechsig,Germany,1852,1890
Tal,Mikhail,Mikhail Tal,Latvia,1936,1992
Gilbert,Ellen,Ellen Gilbert,US,1837,1900
Czarnowski,Hieronim,Hieronim Czarnowski,"Poland,France,Austria-Hungary",1834,1902
Wemmers,Carl,Carl Wemmers,Germany,1845,1882
Jaffe,Charles,Charles Jaffe,"Russia,US",1883,1941
Pavey,Max,Max Pavey,US,1918,1957
Campomanes,Florencio,Florencio Campomanes,Philippines,1927,2010
Spraggett,Kevin,Kevin Spraggett,Canada,1954,
Srebrnič,Ana,Ana Srebrnič,Slovenia,1984,
Ivanchuk,Vassily,Vassily Ivanchuk,Ukraine,1969,
Andersen,Erik,Erik Andersen,Denmark,1904,1938
Reshevsky,Samuel,Samuel Reshevsky,"Poland,US",1911,1992
Sánchez,Luis Augusto,Luis Augusto Sánchez,Colombia,1917,1981
Kolisch,Ignác,Ignác Kolisch,"Slovakia,Austria-Hungary",1837,1899
Przepiórka,Dawid,Dawid Przepiórka,Poland,1880,1942
Salov,Valery,Valery Salov,Russia,1964,
Korody,Imre,Imre Korody,Hungary,1905,1969
Albin,Adolf,Adolf Albin,Romania,1848,1920
Ivkov,Borislav,Borislav Ivkov,Serbia,1933,
Kaplan,Julio,Julio Kaplan,"Argentina,Puerto Rico,US",1950,
Lautier,Joël,Joël Lautier,"Canada,France",1973,
Efroimski,Marsel,Marsel Efroimski,Israel,1995,
Mežgailis,Voldemars,Voldemars Mežgailis,Latvia,1912,
Kieninger,Georg,Georg Kieninger,Germany,1902,1975
Morawski,Kalikst,Kalikst Morawski,Poland,1859,c. 1939
Szmetan,Jorge,Jorge Szmetan,Argentina,1950,
Romanovsky,Peter,Peter Romanovsky,Russia,1892,1964
Rudenko,Lyudmila,Lyudmila Rudenko,"Ukraine,Russia",1904,1986
Palliser,Richard,Richard Palliser,England,1981,
Fairhurst,William,William Fairhurst,"England,Scotland,New Zealand",1903,1982
Pogonina,Natalia,Natalia Pogonina,Russia,1985,
Rico,Antonio,Antonio Rico,Spain,1908,1988
Hamarat,Tunc,Tunc Hamarat,"Turkey,Austria",1946,
Hecht,Hans-Joachim,Hans-Joachim Hecht,Germany,1939,
Michel,Walter,Walter Michel,Switzerland,1888,>1935
Panno,Oscar,Oscar Panno,Argentina,1935,
Gutman,Lev,Lev Gutman,"Latvia,Israel,Germany",1945,
Duhm,Hans,Hans Duhm,"Germany,Switzerland",1878,1946
Salvio,Alessandro,Alessandro Salvio,Italy,c. 1570,c. 1640
Cruz,Walter,Walter Cruz,Brazil,1910,1967
Ostenstad,Berge,Berge Ostenstad,Norway,1964,
Nedeljković,Ozren,Ozren Nedeljković,Serbia,1903,1984
Mastrovasilis,Dimitrios,Dimitrios Mastrovasilis,Greece,1983,
Süchting,Hugo,Hugo Süchting,Germany,1874,1916
Tonini,Alice,Alice Tonini,Italy,?,?
Tian,Tian,Tian Tian,China,1983,
Khurtsidze,Nino,Nino Khurtsidze,Georgia,1975,2018
Nevednichy,Vladislav,Vladislav Nevednichy,Romania,1969,
Martinez,Dion,Dion Martinez,"Cuba,US",1837,1928
Reca,Damian,Damian Reca,Argentina,1894,1937
Conde,Adrián García,Adrián García Conde,"Mexico,England",1886,1943
Tomashevsky,Evgeny,Evgeny Tomashevsky,Russia,1987,
Torre Repetto,Carlos,Carlos Torre Repetto,México,1902,1978
Antic,Dejan,Dejan Antic,Serbia,1968,
Arlauskas,Romanas,Romanas Arlauskas,"Lithuania,Australia",1917,2009
Grünfeld,Ernst,Ernst Grünfeld,Austria,1893,1962
Lesiege,Alexandre,Alexandre Lesiege,Canada,1975,
Megaranto,Susanto,Susanto Megaranto,Indonesia,1987,
Vergani,Beniamino,Beniamino Vergani,Italy,1863,1927
Polerio,Giulio,Giulio Polerio,Italy,1548,1612
Tseitlin,Mark,Mark Tseitlin,"Russia,Israel",1943,
Budzyński,Wincenty,Wincenty Budzyński,"Poland,France",1815,1866
Bologan,Victor,Victor Bologan,Moldova,1971,
Sokolov,Ivan,Ivan Sokolov,"Bosnia,Netherlands",1968,
Hruby,Vincenz,Vincenz Hruby,"Bohemia,Austria,Italy",1856,1917
Nestler,Vincenzo,Vincenzo Nestler,Italy,1912,1988
Aseev,Konstantin,Konstantin Aseev,Russia,1960,2004
Rudnev,Nikoly,Nikoly Rudnev,"Ukraine,Uzbekistan",1895,1944
Milic,Borislav,Borislav Milic,Yugoslavia,1925,1986
Novotelnov,Nikolay,Nikolay Novotelnov,Russia,1911,2006
Dzindzichashvili,Roman,Roman Dzindzichashvili,"Georgia,Israel,US",1944,
Pitschak,Rudolf,Rudolf Pitschak,"Czechoslovakia,US",1902,
Hahn,Anna,Anna Hahn,"Latvia,US",1976,
Ståhlberg,Gideon,Gideon Ståhlberg,Sweden,1908,1967
Zhang,Pengxiang,Zhang Pengxiang,China,1980,
Flohr,Salo,Salo Flohr,"Ukraine,Czechoslovakia,Russia",1908,1983
Goletiani,Rusudan,Rusudan Goletiani,"Georgia,US",1980,
Shabalov,Alexander,Alexander Shabalov,"Latvia,US",1967,
Abrahamyan,Tatev,Tatev Abrahamyan,"Armenia,US",1988,
Hanham,James,James Hanham,US,1840,1923
Roiz,Michael,Michael Roiz,"Russia,Israel",1983,
Ilyin-Zhenevsky,Alexander,Alexander Ilyin-Zhenevsky,Russia,1894,1941
Carlsen,Magnus,Magnus Carlsen,Norway,1990,
Holländer,Karl,Karl Holländer,Germany,1868,? 
Martinolich,Giovanni,Giovanni Martinolich,Italy,1884,1910
Mrva,Martin,Martin Mrva,Slovakia,1971,
Gligorić,Svetozar,Svetozar Gligorić,Serbia,1923,2012
Zhao,Lan,Zhao Lan,China,1963,
Velimirović,Dragoljub,Dragoljub Velimirović,Serbia,1942,2014
Gibaud,Amédée,Amédée Gibaud,France,1885,1957
Marić,Alisa,Alisa Marić,Serbia,1970,
Safvat,Yousof,Yousof Safvat,Iran,?,
List,Paul,Paul List,"Ukraine,Germany,England",1887,1954
Buckle,Henry Thomas,Henry Thomas Buckle,England,1821,1862
Csom,István,István Csom,Hungary,1940,
Peptan,Corina,Corina Peptan,Romania,1978,
Johner,Hans,Hans Johner,Switzerland,1889,1975
Kahn,Victor,Victor Kahn,"Russia,France",1889,1971
Alekhine,Alexander,Alexander Alekhine,"Russia,France",1892,1946
Becker,Albert,Albert Becker,"Austria,Germany,Argentina",1896,1984
Tolush,Alexander,Alexander Tolush,Russia,1910,1969
Black,Roy Turnbull,Roy Turnbull Black,US,1888,1962
Treysman,George,George Treysman,US,1881,1959
Franklin,Selim,Selim Franklin,"England,US",1814,1884
Türn,Johannes,Johannes Türn,Estonia,1899,1993
Cherepkov,Alexander,Alexander Cherepkov,Russia,1920,
Adams,Weaver,Weaver Adams,US,1901,1963
Yépez,Olavo,Olavo Yépez,Ecuador,1937,
Chernyshov,Konstantin,Konstantin Chernyshov,Russia,1967,
Ólafsson,Helgi,Helgi Ólafsson,Iceland,1956,
Abonyi,István,István Abonyi,Hungary,1886,1942
Gurevich,Ilya,Ilya Gurevich,"Ukraine,US",1972,
Sokolov,Andrei,Andrei Sokolov,"Russia,France",1963,
Vukcevich,Milan,Milan Vukcevich,"Serbia,US",1937,2003
Gofshtein,Leonid,Leonid Gofshtein,Israel,1953,
Borisenko,Valentina,Valentina Borisenko,Russia,1920,1993
Janowski,Dawid,Dawid Janowski,"Poland,France",1868,1927
Goering,Carl,Carl Goering,Germany,1841,1879
Sokolsky,Alexey,Alexey Sokolsky,"Russia,Ukraine,Belarus",1908,1969
Bain,Mary,Mary Bain,US,1904,1972
Dobiáš,Josef,Josef Dobiáš,"Bohemia,Czechoslovakia",1886,1981
Hansen,Curt,Curt Hansen,Denmark,1964,
Fyllingen,Roy,Roy Fyllingen,Norway,1975,
Sznapik,Aleksander,Aleksander Sznapik,Poland,1951,
Larsson,Ernst,Ernst Larsson,Sweden,1897,1963
Towbin,Izaak,Izaak Towbin,"Ukraine,Poland",1899,1941
Stoltz,Gösta,Gösta Stoltz,Sweden,1904,1963
Arkell,Keith,Keith Arkell,England,1961,
Alexandria,Nana,Nana Alexandria,Georgia,1949,
Grigoryan,Avetik,Avetik Grigoryan,Armenia,1989,
Daniels,A. Polak,A. Polak Daniels,Netherlands,<1855,>1883
Żabiński,Józef,Józef Żabiński,Poland,1860,1928
Lange,Max,Max Lange,Germany,1832,1899
Lipschütz,Samuel,Samuel Lipschütz,"Hungary,US",1863,1905
Gregory,Bernhard,Bernhard Gregory,"Estonia,Germany",1879,1939
Reggio,Arturo,Arturo Reggio,Italy,1863,1917
Hilse,Wilhelm,Wilhelm Hilse,Germany,1878,1940
Zabłudowski,Aron,Aron Zabłudowski,Poland,1909,1941
Majdan,Joanna,Joanna Majdan,Poland,1988,
Stein,Elias,Elias Stein,"Alsace,Netherlands",1748,1812
Fedorov,Alexei,Alexei Fedorov,Belarus,1972,
Malakhatko,Vadim,Vadim Malakhatko,"Ukraine,Belgium",1977,
Cohn,Erich,Erich Cohn,Germany,1884,1918
Naiditsch,Arkadij,Arkadij Naiditsch,"Latvia,Germany",1985,
Levin,Jacob,Jacob Levin,US,1904,?
Hráček,Zbyněk,Zbyněk Hráček,Czech Republic,1970,
Li,Zunian,Li Zunian,China,1958,
Goetz,Alphonse,Alphonse Goetz,France,1865,1934
Duhm,Andreas,Andreas Duhm,"Germany,Switzerland",1883,1975
Aloni,Izak,Izak Aloni,"Poland,Israel",1905,1985
Antoshin,Vladimir,Vladimir Antoshin,Russia,1929,1994
Volokitin,Andrei,Andrei Volokitin,Ukraine,1986,
Koneru,Humpy,Humpy Koneru,India,1987,
Śliwa,Bogdan,Bogdan Śliwa,Poland,1922,2003
Apicella,Manuel,Manuel Apicella,France,1970,
Gilg,Karl,Karl Gilg,"Czechoslovakia,Germany",1901,1981
Paridar,Shadi,Shadi Paridar,Iran,1986,
Cozio,Carlo,Carlo Cozio,Italy,c. 1715,c. 1780
Córdoba,Miguel Illescas,Miguel Illescas Córdoba,Spain,1965,
Webb,Simon,Simon Webb,England,1949,2005
Brustman,Agnieszka,Agnieszka Brustman,Poland,1962,
Hamppe,Carl,Carl Hamppe,"Switzerland,Austria",1814,1876
Kopec,Danny,Danny Kopec,US,1954,
Ye,Rongguang,Ye Rongguang,China,1963,
Anand,Viswanathan,Viswanathan Anand,India,1969,
Friedgood,David,David Friedgood,"South Africa,England",1946,
Němcová,Kateřina,Kateřina Němcová,Czech Republic,1990,
Lisitsin,Georgy,Georgy Lisitsin,Russia,1909,1972
Zubarev,Nikolai,Nikolai Zubarev,Russia,1894,1951
Cvitan,Ognjen,Ognjen Cvitan,Croatia,1961,
Levitsky,Stepan,Stepan Levitsky,Russia,1876,1924
Peng,Xiaomin,Peng Xiaomin,China,1973,
Gufeld,Eduard,Eduard Gufeld,"Ukraine,US",1936,2002
Basman,Michael,Michael Basman,England,1946,
Duras,Oldřich,Oldřich Duras,"Bohemia,Czechoslovakia",1882,1957
Maghami,Ehsan Ghaem,Ehsan Ghaem Maghami,Iran,1982,
Suhle,Berthold,Berthold Suhle,"Poland,Germany",1837,1904
Litinskaya-Shul,Marta,Marta Litinskaya-Shul,Ukraine,1949,
Diamant,André,André Diamant,Brazil,1990,
Vaganian,Rafael,Rafael Vaganian,Armenia,1951,
Kann,Marcus,Marcus Kann,Austria,1820,1886
Paragua,Mark,Mark Paragua,Philippines,1984,
Windisch,Karl Gottlieb von,Karl Gottlieb von Windisch,"Slovakia,Hungary,Austria",1725,1793
Dubois,Serafino,Serafino Dubois,Italy,1817,1899
Ponomariov,Ruslan,Ruslan Ponomariov,Ukraine,1983,
Milliet,Sophie,Sophie Milliet,France,1983,
Lewi,Jerzy,Jerzy Lewi,"Poland,Sweden",1949,1972
Löwe,Edward,Edward Löwe,England,1794,1880
Vaisser,Anatoly,Anatoly Vaisser,"Kazakhstan,France",1949,
Muffang,André,André Muffang,France,1897,1989
Neumann,Gustav,Gustav Neumann,Germany,1838,1881
Ruan,Lufei,Ruan Lufei,China,1987,
Ernst,Wilhelm,Wilhelm Ernst,Germany,1905,1952
Keres,Paul,Paul Keres,Estonia,1916,1975
Aptekar,Lev,Lev Aptekar,"Ukraine,New Zealand",1936,
Wisker,John,John Wisker,England,1846,1884
Sjugirov,Sanan,Sanan Sjugirov,Russia,1993,
Barus,Cerdas,Cerdas Barus,Indonesia,1961,
Varga,Zoltán,Zoltán Varga,Hungary,1970,
Godena,Michele,Michele Godena,Italy,1967,
Halberstadt,Vitaly,Vitaly Halberstadt,"Ukraine,France",1903,1967
Shahade,Greg,Greg Shahade,US,1978,
Cuéllar,Miguel,Miguel Cuéllar,Colombia,1916,1985
Bosch,Johannes van den,Johannes van den Bosch,Netherlands,1906,1994
Makarczyk,Kazimierz,Kazimierz Makarczyk,Poland,1901,1972
Ross,Laura,Laura Ross,US,1988,
Turover,Isador Samuel,Isador Samuel Turover,"Belgium,US",1892,1978
Panov,Vasily,Vasily Panov,Russia,1906,1973
Timofeev,Artyom,Artyom Timofeev,Russia,1985,
Stevenson,Agnes,Agnes Stevenson,England,<1901,1935
Kasparyan,Genrikh,Genrikh Kasparyan,Armenia,1910,1995
Dolmatov,Sergey,Sergey Dolmatov,Russia,1959,
Zatonskih,Anna,Anna Zatonskih,"Ukraine,US",1978,
Graf,Sonja,Sonja Graf,"Germany,Argentina,US",1908,1965
Kreiman,Boris,Boris Kreiman,"Russia,US",1976,
Radulov,Ivan,Ivan Radulov,Bulgaria,1939,
Zuckerman,Bernard,Bernard Zuckerman,US,1943,
Bogatyrchuk,Fedor,Fedor Bogatyrchuk,"Ukraine,Canada",1892,1984
Shirov,Alexei,Alexei Shirov,"Latvia,Spain",1972,
Lucena,Luis Ramirez,Luis Ramirez Lucena,Spain,c. 1465,c. 1530
Brach,Julius,Julius Brach,Czechoslovakia,1881,1938
Bilek,István,István Bilek,Hungary,1932,2010
Ekenberg,Bengt,Bengt Ekenberg,Sweden,1912,1986
Kagan,Bernhard,Bernhard Kagan,"Poland,Germany",1866,1932
Guggenberger,Ilse,Ilse Guggenberger,Colombia,1942,
Marco,Georg,Georg Marco,"Romania,Austria",1863,1923
Olland,Adolf Georg,Adolf Georg Olland,Netherlands,1867,1933
Schmidt,Paul Felix,Paul Felix Schmidt,"Estonia,Germany,US",1916,1984
Baender,Paul,Paul Baender,"Germany,Bolivia",1906,1985
Zukertort,Johannes,Johannes Zukertort,"Poland,Germany,England",1842,1888
Balashov,Yuri,Yuri Balashov,Russia,1949,
Vladimirov,Evgeny,Evgeny Vladimirov,Kazakhstan,1957,
Zagrebelny,Sergey,Sergey Zagrebelny,Uzbekistan,1965,
Chanda,Sandipan,Sandipan Chanda,India,1983,
Bauer,Johann Hermann,Johann Hermann Bauer,"Bohemia,Austria",1861,1891
Drezga,Tihomil,Tihomil Drezga,"Croatia,US",1903,1981
An,Yangfeng,An Yangfeng,China,1963,
Wang,Yu,Wang Yu,China,1982,
